Curricular units 2nd sem (grade),Curricular units 2nd sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Curricular units 1st sem (approved),Curricular units 2nd sem (evaluations),Curricular units 1st sem (evaluations),Scholarship holder,Father's occupation,Mother's occupation,Target
12.833333333333334,5,11.875,1,6,9,11,0,11,8,0
13.966666666666669,6,13.966666666666669,1,6,7,7,0,10,10,1
0.0,0,0.0,0,0,10,10,0,1,1,0
12.8,5,11.5,1,4,5,8,0,6,4,1
0.0,0,12.5,1,2,0,2,0,10,10,0
0.0,0,0.0,1,0,0,0,0,1,1,0
13.225,7,11.98,1,6,11,10,0,4,4,1
11.8,5,13.2,1,5,7,8,1,39,29,2
14.0375,8,11.614285714285714,1,6,8,10,0,5,5,1
14.314285714285717,7,14.314285714285717,1,7,8,8,1,2,2,1
0.0,0,0.0,1,0,0,0,0,6,3,0
13.0,2,12.666666666666666,1,6,12,9,0,8,10,2
12.128571428571428,7,12.766666666666666,1,6,10,9,1,6,10,1
12.2,5,12.666666666666666,1,6,7,7,1,10,8,1
10.571428571428571,4,11.5,1,6,10,7,0,4,5,0
11.75,4,11.4,1,5,14,13,0,5,6,0
14.4775,8,14.70625,1,7,8,8,1,8,10,1
13.542857142857144,7,11.814285714285717,1,6,8,9,1,6,6,1
11.875,6,13.0,1,6,8,8,0,9,4,1
13.333333333333334,6,14.857142857142858,1,6,6,7,0,6,6,1
12.6,6,12.6,1,6,7,7,0,3,4,1
11.4,4,13.333333333333334,1,5,17,9,0,5,10,2
12.833333333333334,6,10.666666666666666,1,6,12,10,0,6,3,2
11.0,1,11.5,0,2,5,6,0,6,12,0
0.0,0,10.0,1,1,0,9,0,10,10,0
12.2,5,11.8,1,5,10,10,0,4,5,1
12.666666666666666,6,11.8,1,5,6,7,0,8,10,1
12.77125,8,12.77125,1,8,8,8,0,8,8,1
12.6,5,11.333333333333334,1,3,8,13,0,10,10,2
14.6,5,12.666666666666666,1,6,7,6,0,10,10,1
10.833333333333334,4,12.2,0,5,11,10,0,5,5,2
0.0,0,12.0,0,1,10,9,0,2,2,0
11.721428571428572,7,11.721428571428572,1,7,12,12,1,8,8,1
12.525,3,14.0,1,4,14,12,0,34,23,2
13.8,5,14.75,1,7,12,9,0,5,3,2
13.666666666666666,6,12.666666666666666,1,6,6,6,0,4,10,1
14.0,5,13.0,1,4,6,12,0,3,3,0
0.0,0,0.0,1,0,5,6,0,7,5,0
0.0,0,10.75,1,4,9,8,0,4,3,2
0.0,0,0.0,0,0,10,5,0,13,13,0
11.75,4,12.5,1,4,7,6,0,1,1,1
0.0,0,0.0,0,0,0,4,0,3,10,0
0.0,0,0.0,0,0,4,5,0,11,10,0
0.0,0,0.0,0,0,0,0,0,11,10,0
12.4,5,12.5,1,6,15,7,0,5,10,1
11.666666666666666,3,12.8,1,5,9,10,0,5,10,0
11.0,1,10.0,1,1,11,11,0,1,1,0
10.2,5,11.25,1,4,10,11,0,10,10,0
12.61,7,12.61,1,7,8,8,1,6,6,1
12.6,5,12.0,1,2,6,14,0,10,3,1
13.5,6,13.0,0,5,7,9,0,9,3,1
13.0,5,12.0,1,4,8,9,1,10,10,1
0.0,0,12.0,1,4,8,8,0,2,2,0
11.0,1,12.0,1,1,9,12,0,4,10,0
10.5,3,12.0,1,1,6,9,0,4,6,2
0.0,0,0.0,1,0,0,0,0,11,3,1
0.0,0,0.0,0,0,9,5,0,10,10,0
11.75,4,13.625,1,5,9,11,0,3,3,0
11.666666666666666,3,11.666666666666666,1,3,10,12,1,8,5,2
0.0,0,0.0,1,0,0,0,0,9,10,0
11.69,7,11.69,1,7,8,8,0,4,3,1
0.0,0,0.0,0,0,12,11,0,8,5,0
0.0,0,0.0,1,0,0,0,0,3,3,1
11.285714285714286,5,11.5,1,4,11,10,0,5,5,1
0.0,0,14.0,1,1,0,10,0,5,5,0
12.4,5,11.0,1,5,7,7,0,5,5,1
13.166666666666666,6,12.857142857142858,1,6,6,7,0,10,4,1
11.333333333333334,6,12.5,1,4,6,9,0,10,10,0
15.018181818181818,8,14.528571428571428,1,7,11,7,0,6,6,1
12.0,2,10.0,1,5,10,8,0,8,6,2
12.625,6,13.0,1,6,10,8,1,11,5,1
15.188888888888888,8,15.957142857142856,1,7,9,7,1,4,6,1
12.6,5,13.2,1,5,8,6,1,11,10,2
11.0,3,10.2,1,4,6,9,0,11,6,2
13.5,2,14.2,1,5,5,6,0,11,6,2
14.5,2,12.625,1,6,11,8,0,7,6,2
13.496666666666668,6,13.496666666666668,1,6,11,11,0,10,10,2
11.0,5,13.25,1,5,8,8,0,8,10,1
12.0,3,12.0,1,3,10,12,0,6,5,0
13.75,4,13.0,0,4,9,10,0,10,8,0
13.666666666666666,3,11.77777777777778,1,9,11,12,0,11,2,0
0.0,0,11.0,1,2,10,10,0,3,4,0
0.0,0,0.0,1,0,5,14,0,5,5,0
10.857142857142858,6,12.428571428571429,1,14,13,16,0,3,3,0
12.0,3,11.0,1,3,11,8,0,5,8,2
0.0,0,0.0,1,0,0,0,0,10,10,1
10.666666666666666,3,11.5,1,3,12,12,0,44,32,2
12.5075,8,12.5075,1,8,8,8,0,11,10,1
12.0,11,12.090909090909092,1,11,14,18,0,30,20,1
12.666666666666666,3,11.0,1,2,9,14,0,4,4,2
11.333333333333334,2,10.0,1,1,8,13,0,11,5,0
13.2,5,13.5,1,6,9,6,0,10,10,1
13.625,6,14.166666666666666,1,6,8,6,0,10,10,1
14.714285714285714,6,14.0,1,6,7,7,0,10,4,1
0.0,0,0.0,1,0,5,4,0,5,3,0
11.333333333333334,3,11.666666666666666,1,3,10,9,0,6,1,0
14.2,5,14.6,1,5,5,7,0,9,9,1
11.5,5,13.0,1,5,13,10,0,3,3,1
12.0,6,12.166666666666666,1,6,9,7,0,10,10,1
12.0,1,0.0,1,0,5,9,0,10,10,0
10.8,3,10.5,1,3,11,10,0,11,6,0
10.833333333333334,5,12.4,1,3,8,14,0,6,5,2
0.0,0,0.0,1,0,0,0,0,11,10,1
0.0,0,0.0,0,0,8,12,0,5,5,0
13.828571428571427,7,13.828571428571427,1,7,8,8,0,10,10,1
10.2,5,10.6,1,5,6,7,1,9,10,2
11.666666666666666,6,11.5,1,6,6,7,0,6,6,1
13.625,6,13.5,1,4,8,6,0,9,10,1
0.0,0,0.0,1,0,0,12,0,2,1,0
12.614285714285714,7,12.5375,1,7,9,8,0,6,6,1
13.285714285714286,6,14.833333333333334,1,6,8,6,0,8,9,2
12.8,4,12.0,1,4,9,10,0,9,10,1
11.6,5,11.8,1,5,8,8,0,8,8,1
15.2,5,15.0,1,5,5,5,1,4,4,1
13.2,5,12.0,1,3,7,7,0,12,12,1
12.285714285714286,6,12.833333333333334,1,6,7,6,1,9,10,1
12.0,3,11.666666666666666,1,6,14,12,0,4,10,1
13.825,8,12.1625,1,7,8,9,0,5,6,1
14.555555555555555,6,13.833333333333334,1,6,11,6,0,4,10,1
11.7,5,12.45,1,4,11,12,0,9,3,2
13.571428571428571,6,12.125,1,6,7,9,1,5,10,1
13.0,4,13.4,1,5,10,8,0,9,5,2
14.0,5,13.333333333333334,1,6,8,8,0,7,5,2
11.545454545454543,11,11.454545454545457,1,11,16,15,0,10,10,0
10.0,3,12.0,0,4,14,10,1,1,8,0
12.6,5,12.666666666666666,0,6,9,8,0,11,10,0
13.77777777777778,6,12.666666666666666,1,6,9,7,0,5,8,1
11.461538461538462,13,11.88888888888889,1,18,13,22,0,10,10,1
0.0,0,0.0,1,0,0,0,0,10,10,0
11.6,4,13.0,0,4,8,6,0,8,6,0
15.744444444444444,8,16.885714285714283,1,7,9,7,0,5,10,1
12.333333333333334,6,12.5,1,6,6,6,0,5,5,1
15.8125,8,13.055555555555555,1,7,8,9,1,9,4,1
0.0,0,0.0,0,0,0,0,0,7,7,0
0.0,0,0.0,1,0,5,7,1,3,4,0
12.355714285714283,7,12.355714285714283,1,7,8,8,1,8,8,1
0.0,0,0.0,1,0,0,0,0,44,32,0
11.98,5,11.98,1,5,8,8,1,6,7,2
12.571428571428571,7,13.857142857142858,1,7,8,7,1,41,29,1
14.166666666666666,6,13.0,1,5,6,9,0,8,5,1
11.166666666666666,6,12.833333333333334,1,6,10,6,0,2,2,1
13.2,5,11.0,1,4,7,11,0,8,6,2
12.357142857142858,7,12.357142857142858,1,7,8,8,1,10,10,1
13.857142857142858,7,13.857142857142858,1,7,8,8,1,10,10,1
10.666666666666666,6,12.333333333333334,1,6,6,6,1,9,8,1
13.788888888888888,8,12.847142857142858,1,7,10,8,0,9,10,1
13.01875,8,12.339999999999998,1,6,9,9,1,8,5,1
11.75,4,12.666666666666666,1,5,19,10,0,4,3,2
12.5,6,13.833333333333334,1,6,6,6,0,6,5,1
10.0,2,10.75,1,2,11,15,0,4,5,0
10.25,4,13.25,1,4,10,11,0,8,10,0
13.73125,8,13.73125,1,8,8,8,1,6,8,1
12.666666666666666,3,13.333333333333334,1,6,8,6,1,10,10,0
10.8,5,12.0,1,5,9,8,0,9,10,0
11.333333333333334,6,10.88888888888889,1,9,10,10,0,7,7,1
13.811111111111112,8,13.025,1,7,9,8,0,8,10,1
14.166666666666666,6,13.0,1,6,6,6,0,7,6,1
12.0,5,11.8,1,5,10,10,0,10,10,1
12.042857142857144,7,12.042857142857144,1,7,8,8,1,10,10,1
13.0,4,12.2,1,5,10,9,0,10,5,2
15.5,8,12.8375,1,7,8,8,1,8,6,1
11.7,7,11.0,1,7,13,13,1,44,29,1
14.0,5,13.5,1,6,9,7,1,8,10,1
12.714285714285714,6,12.125,1,6,7,8,1,6,8,1
12.62857142857143,7,12.62857142857143,1,7,12,12,1,10,10,1
11.4,4,10.666666666666666,1,3,7,9,0,5,10,2
11.6,5,11.2,1,5,13,11,0,6,5,1
11.833333333333334,6,12.666666666666666,1,6,6,6,1,4,4,0
0.0,0,13.5,0,4,6,7,0,1,10,0
11.0,2,11.666666666666666,1,3,15,9,0,10,10,2
12.333333333333334,3,10.5,1,2,7,8,0,10,5,2
14.26875,8,14.26875,1,8,8,8,0,8,8,2
0.0,0,0.0,0,0,0,0,0,8,8,0
13.333333333333334,3,10.5,1,2,11,8,1,10,10,2
10.0,1,11.2,1,5,15,11,0,6,4,2
14.833333333333334,5,12.0,1,5,6,5,0,8,10,1
13.2125,8,12.228571428571428,1,7,10,9,0,4,5,1
10.75,4,11.5,1,4,5,6,0,2,6,1
16.428571428571427,6,15.375,1,6,7,8,0,1,6,1
13.5,6,13.666666666666666,0,9,15,19,0,6,6,2
12.614285714285714,7,12.614285714285714,1,7,11,11,0,4,5,1
11.5,6,12.2,1,5,6,7,1,10,7,1
11.0,4,11.75,1,4,10,13,0,6,4,1
10.0,3,11.4,1,5,9,9,1,7,10,2
10.0,2,10.6,1,5,14,10,0,11,6,2
11.454545454545457,11,10.923076923076923,1,13,13,16,0,8,6,1
12.4,5,12.4,1,5,9,6,0,11,6,1
0.0,0,0.0,1,0,6,6,0,10,10,0
15.5,6,15.833333333333334,1,6,8,6,0,3,5,1
11.708333333333334,6,11.8,1,5,9,12,0,44,32,2
13.666666666666666,6,12.571428571428571,1,6,6,7,0,2,5,1
13.25,4,12.0,1,3,7,7,0,1,1,1
14.444444444444445,8,13.3625,1,7,9,8,0,8,10,1
16.0,5,15.4,1,5,5,6,1,7,7,1
11.75,4,12.2,0,5,9,9,0,6,6,0
13.545454545454543,11,12.818181818181818,1,11,11,11,1,8,6,1
0.0,0,0.0,1,0,0,0,0,9,5,0
13.554736842105264,17,13.394736842105264,1,17,19,21,0,8,6,1
11.0,6,14.25,1,6,8,8,1,10,10,1
14.714285714285714,7,13.444444444444445,1,9,7,19,0,8,12,0
11.7375,8,12.285714285714286,1,7,10,8,1,8,10,1
13.2,5,11.666666666666666,1,6,7,7,0,4,4,1
13.5,6,12.166666666666666,1,6,6,8,0,9,6,1
11.0,2,10.0,1,2,15,11,0,10,10,0
15.0,6,14.0,1,6,6,6,0,8,6,1
12.0,4,11.833333333333334,1,5,6,9,0,8,8,2
0.0,0,15.0,0,1,12,7,0,1,1,0
0.0,0,0.0,1,0,0,0,1,6,3,1
10.666666666666666,6,10.833333333333334,1,6,6,7,0,10,10,1
14.0,6,13.142857142857142,1,6,6,7,1,7,5,1
14.0,5,14.4,0,5,6,8,1,6,5,0
0.0,0,0.0,0,0,0,0,0,11,10,0
11.22222222222222,9,12.0,1,7,19,17,0,10,10,1
12.8,10,12.2,1,9,12,13,0,10,10,1
11.0,2,12.333333333333334,0,3,2,3,0,10,2,0
12.48125,8,11.8375,1,7,9,8,0,9,10,1
14.0,5,11.8,1,5,6,5,0,3,10,1
0.0,0,0.0,0,0,9,5,0,8,10,0
0.0,0,0.0,1,0,0,0,0,5,10,0
12.384615384615383,13,12.68421052631579,1,19,13,19,0,8,10,1
13.0,4,12.571428571428571,1,6,10,8,0,4,10,2
0.0,0,11.25,0,3,7,18,0,9,10,0
15.5,4,14.0,1,4,9,13,0,10,3,1
13.5,2,13.333333333333334,1,4,6,15,0,6,6,0
13.666666666666666,6,13.666666666666666,1,6,6,7,0,1,1,1
10.8,5,10.0,1,3,9,12,0,2,3,2
11.714285714285714,6,12.6,1,5,11,12,0,2,10,1
17.0,1,17.333333333333332,1,3,11,10,0,8,6,0
12.0,3,13.2,0,5,21,10,0,7,7,2
13.666666666666666,3,14.0,1,3,8,9,0,4,10,0
12.5,1,13.875,1,4,1,4,0,3,3,0
0.0,0,0.0,1,0,5,5,0,10,10,0
14.857142857142858,7,13.11111111111111,1,9,7,9,0,10,10,1
13.333333333333334,4,13.0,1,5,11,8,1,10,10,0
12.142857142857142,7,12.5,1,10,7,10,0,9,5,1
14.23076923076923,13,14.11111111111111,1,18,13,18,0,7,10,1
15.77777777777778,9,14.727272727272728,1,11,9,11,0,10,10,1
0.0,0,0.0,0,0,6,6,0,8,10,0
0.0,0,0.0,1,0,5,5,0,12,12,0
0.0,0,0.0,0,0,5,5,0,9,10,0
11.6,5,13.5,1,4,6,7,0,12,12,1
13.105714285714283,7,13.105714285714283,1,7,8,8,0,3,3,1
14.4,5,13.5,1,5,5,8,0,7,7,1
12.0,11,11.846153846153848,1,13,11,18,0,11,5,1
0.0,0,0.0,1,0,5,5,0,12,1,0
0.0,0,14.333333333333334,0,3,6,11,0,10,4,0
17.6,5,15.8,1,5,5,10,0,10,10,2
12.4,5,13.8,1,5,7,16,0,11,9,2
12.0,3,12.666666666666666,1,6,11,18,0,5,5,0
12.0,6,13.0,1,6,9,10,0,8,4,2
0.0,0,0.0,1,0,0,0,0,6,10,1
0.0,0,11.0,0,1,0,6,0,6,12,0
0.0,0,0.0,0,0,9,9,0,11,12,0
16.575,8,15.2,1,7,8,7,0,8,10,1
14.375,7,14.428571428571429,1,6,8,7,0,4,4,1
0.0,0,0.0,1,0,5,5,0,10,10,0
0.0,0,0.0,1,0,0,0,0,8,5,1
11.2,5,13.75,1,4,8,13,0,3,3,2
12.0,3,12.166666666666666,0,5,15,11,1,10,10,0
11.666666666666666,5,12.142857142857142,1,5,11,12,0,7,5,1
11.6,5,12.0,1,6,8,9,0,7,7,1
12.75,4,11.666666666666666,1,3,7,10,0,8,5,1
0.0,0,0.0,1,0,6,9,0,8,7,0
12.0,5,11.875,1,6,8,10,0,11,5,1
12.333333333333334,6,11.285714285714286,1,7,10,15,0,8,4,2
11.333333333333334,3,10.0,1,2,15,17,0,8,6,0
11.181818181818182,10,12.0,1,11,15,13,0,8,4,2
13.0,5,13.833333333333334,1,6,7,7,0,9,9,0
0.0,0,0.0,1,0,0,0,0,8,10,0
12.5,6,14.428571428571429,1,6,6,7,0,3,3,1
12.4,6,14.2,1,5,9,8,0,4,4,0
10.333333333333334,3,11.5,1,4,9,8,0,9,5,0
15.0,6,13.0,1,5,6,7,0,10,10,1
0.0,0,0.0,0,0,8,6,0,6,5,0
11.0,2,11.333333333333334,0,3,13,12,0,5,5,0
11.428571428571429,12,12.5,1,18,26,45,0,7,10,1
0.0,0,0.0,1,0,5,5,0,4,12,0
13.944444444444445,8,13.471428571428572,1,7,9,7,0,4,6,1
13.333333333333334,3,11.75,1,4,5,5,0,6,6,1
14.666666666666666,6,13.333333333333334,1,6,10,9,1,10,10,1
13.105,8,13.105,1,8,8,8,1,4,4,1
0.0,0,0.0,0,0,6,5,0,10,8,0
12.166666666666666,6,15.5,1,6,7,6,1,10,10,1
0.0,0,0.0,0,0,0,0,0,6,5,0
12.333333333333334,3,11.25,0,4,7,6,0,6,10,0
11.363636363636363,11,11.0,0,12,21,24,0,5,10,0
13.0,4,12.333333333333334,1,6,9,10,0,4,4,1
11.8,5,11.375,1,8,11,18,0,10,10,1
12.384615384615383,12,12.22222222222222,1,18,15,19,0,3,3,1
0.0,0,0.0,1,0,0,0,0,11,2,2
12.0,6,12.0,1,9,8,11,0,10,10,1
10.0,1,11.0,1,1,10,10,0,4,30,2
13.0,10,14.125,1,16,14,17,0,6,6,1
11.2,5,10.2,1,5,7,8,0,11,6,2
12.4,4,12.0,1,4,6,7,0,5,5,2
12.571428571428571,7,12.333333333333334,1,9,7,11,0,2,5,1
13.857142857142858,7,14.333333333333334,1,9,7,9,0,8,10,1
14.0,6,15.166666666666666,1,6,9,6,0,6,6,1
15.142857142857142,6,15.142857142857142,1,6,8,8,1,10,10,1
0.0,0,0.0,1,0,0,0,0,6,6,0
13.294444444444444,7,13.411428571428573,1,6,12,9,0,10,5,2
12.166666666666666,6,12.333333333333334,1,6,7,7,0,11,5,1
12.2,4,11.8,1,4,18,13,0,9,3,2
12.0,3,12.0,1,6,12,9,0,8,5,0
15.625,6,15.0,1,6,8,7,0,5,5,1
12.7,9,13.875,1,8,13,12,0,3,5,0
14.333333333333334,6,11.833333333333334,1,6,7,9,0,24,18,2
13.833333333333334,6,12.5,1,6,6,6,1,6,6,1
15.5,6,15.0,1,6,6,6,1,8,8,1
10.5,4,11.666666666666666,1,2,10,10,0,5,6,0
14.63375,8,14.668,1,7,8,10,1,9,4,1
13.345,6,13.345,1,6,9,9,0,4,2,2
12.333333333333334,6,12.8,1,5,6,7,1,10,10,1
12.142857142857142,6,10.833333333333334,1,6,7,10,0,2,2,1
14.0,5,13.666666666666666,1,6,6,6,0,3,2,1
14.537142857142856,7,14.537142857142856,1,7,8,8,0,6,5,1
14.0,5,14.4,1,5,5,5,1,12,1,0
0.0,0,0.0,1,0,0,0,1,5,6,1
13.833333333333334,6,13.166666666666666,1,6,6,6,1,10,10,1
0.0,0,11.5,0,2,9,15,0,3,3,0
12.428571428571429,6,11.333333333333334,1,6,7,7,1,3,10,1
13.6,5,12.0,1,6,6,6,0,6,3,1
12.166666666666666,6,13.166666666666666,1,6,6,6,1,4,4,1
14.166666666666666,6,14.833333333333334,1,6,6,6,1,9,6,1
13.22222222222222,9,13.0,1,7,9,7,0,9,10,1
12.95,8,13.087142857142856,1,7,8,8,0,9,5,1
13.666666666666666,6,13.333333333333334,1,6,7,8,1,10,10,1
12.75,4,12.166666666666666,1,6,10,7,0,8,4,2
12.0,4,11.0,0,6,10,8,1,6,4,2
0.0,0,0.0,0,0,0,0,0,9,10,0
12.2,5,13.6,1,5,6,7,0,6,6,1
14.0,6,15.5,1,6,6,6,0,10,10,1
14.285714285714286,7,13.857142857142858,1,7,7,7,0,4,6,1
10.0,3,11.5,1,2,8,10,0,4,10,2
12.166666666666666,6,13.0,1,6,6,6,1,6,4,1
13.0,4,14.0,0,6,11,10,0,11,3,2
0.0,0,0.0,1,0,0,4,0,8,5,0
11.5,6,11.166666666666666,1,6,9,6,0,4,10,2
0.0,0,0.0,0,0,0,0,1,5,10,0
13.666666666666666,6,12.142857142857142,1,7,9,8,1,8,6,1
13.627777777777778,8,14.145714285714286,1,7,9,7,1,10,10,1
14.144444444444444,8,14.45,1,7,9,7,0,4,4,1
15.0,7,15.714285714285714,1,7,7,7,0,5,5,1
12.666666666666666,3,12.8,1,5,11,9,0,5,5,2
11.5,6,12.5,1,6,8,6,0,6,5,2
12.833333333333334,6,14.5,1,6,6,6,0,5,5,1
13.164285714285716,7,13.462857142857144,0,7,10,7,1,6,4,2
12.833333333333334,6,12.833333333333334,1,6,6,6,0,12,10,1
11.6,4,12.0,1,5,8,10,1,10,10,1
0.0,0,0.0,1,0,0,0,0,4,10,1
13.2,6,14.714285714285714,1,6,16,9,0,8,5,2
13.285714285714286,6,12.571428571428571,1,6,7,7,1,10,10,1
11.5,6,12.5,1,6,6,6,1,10,10,1
14.0,5,14.0,1,6,9,8,0,4,5,1
13.166666666666666,6,11.571428571428571,1,7,9,8,0,8,6,0
15.333333333333334,6,15.833333333333334,1,6,6,6,1,8,10,1
14.25,8,14.25,1,8,8,8,0,6,5,1
0.0,0,0.0,1,0,0,0,0,6,4,0
11.0,6,11.666666666666666,1,6,10,8,0,4,4,0
0.0,0,0.0,1,0,10,12,0,1,1,0
12.5,2,13.2,1,5,7,9,0,3,10,2
10.0,1,12.0,1,2,12,11,0,7,10,0
0.0,0,0.0,1,0,5,6,0,6,12,0
11.0,2,12.0,1,4,10,9,0,5,4,2
10.75,4,13.333333333333334,1,3,9,10,0,5,4,0
13.5,2,12.414285714285713,1,5,13,11,0,44,24,2
0.0,0,0.0,0,0,5,5,0,9,3,0
12.4,5,13.8,1,5,7,5,0,11,4,1
0.0,0,0.0,0,0,5,14,0,10,10,0
14.0,4,11.5,0,4,11,10,0,5,4,2
0.0,0,0.0,0,0,6,11,0,1,4,0
14.016666666666666,6,14.016666666666666,1,6,7,7,0,6,10,1
10.8,5,11.4,1,5,8,9,0,10,10,1
0.0,0,0.0,0,0,0,0,1,9,10,0
12.0,5,10.4,1,5,11,12,0,23,32,1
10.25,4,10.666666666666666,1,3,9,11,0,10,10,1
12.714285714285714,5,14.25,1,4,8,9,0,6,3,2
14.10625,8,13.914285714285713,1,7,8,7,1,5,5,1
12.82375,7,13.761111111111113,1,7,11,9,0,2,2,1
11.25,4,12.6,1,5,9,10,0,6,5,2
14.166666666666666,6,13.857142857142858,1,6,6,7,1,10,10,1
13.842857142857143,7,13.842857142857143,1,7,8,8,1,10,10,1
0.0,0,0.0,0,0,8,12,0,6,6,2
0.0,0,11.8,1,5,9,6,0,2,5,0
13.833333333333334,6,12.666666666666666,1,6,6,6,0,4,5,0
0.0,0,0.0,1,0,6,6,0,11,10,0
0.0,0,0.0,1,0,5,7,0,7,5,0
10.0,2,10.75,1,4,13,11,0,4,1,0
13.25,3,12.6,1,5,9,7,0,5,6,0
0.0,0,0.0,0,0,5,5,0,10,10,0
12.142857142857142,7,12.0,1,2,10,7,0,9,6,0
14.5,2,14.0,0,3,9,7,0,9,10,0
13.5,6,14.0,0,6,11,6,0,5,6,0
15.055555555555555,8,14.682857142857143,1,7,9,7,1,11,5,1
0.0,0,0.0,1,0,0,3,0,12,12,0
0.0,0,0.0,1,0,7,6,1,8,4,0
12.8,5,13.857142857142858,1,6,7,7,0,6,5,1
0.0,0,0.0,1,0,0,0,0,8,10,1
12.5,6,13.142857142857142,1,6,7,8,0,44,29,1
13.0,2,18.0,1,1,9,14,0,1,1,0
11.583333333333334,10,11.461538461538462,1,13,15,15,0,6,6,1
11.583333333333334,6,11.2,1,5,11,14,1,2,2,2
14.5,4,15.0,1,5,8,6,0,45,32,1
12.233333333333333,8,14.244444444444444,1,7,12,9,1,10,10,1
11.0,5,11.5,1,4,7,8,1,10,10,0
0.0,0,10.0,1,2,7,7,1,6,5,0
11.6,5,12.333333333333334,1,3,5,7,0,11,8,1
12.142857142857142,7,12.2,1,5,10,8,0,4,10,0
13.2,5,13.666666666666666,1,6,7,6,1,9,10,1
0.0,0,0.0,1,0,0,0,0,6,3,1
0.0,0,11.0,0,1,10,15,0,7,10,0
11.428571428571429,6,13.0,0,3,14,8,0,8,5,0
12.599999999999998,7,12.599999999999998,1,7,12,12,1,10,5,1
12.333333333333334,9,12.2,1,10,12,11,0,1,1,1
13.0,6,13.166666666666666,1,6,6,6,0,1,1,1
11.0,7,11.0,1,6,9,16,1,8,10,1
15.35,8,14.014285714285714,1,7,8,7,1,8,5,1
11.25,4,13.0,1,4,13,9,1,6,10,1
14.666666666666666,6,14.0,1,6,6,6,0,10,10,1
0.0,0,0.0,0,0,0,0,0,44,28,0
14.428571428571429,7,14.428571428571429,1,7,8,8,1,10,10,1
0.0,0,0.0,0,0,10,9,0,5,10,0
12.461538461538462,13,11.833333333333334,1,18,27,45,0,8,5,1
13.0,1,11.333333333333334,0,3,10,12,0,10,5,0
13.0,6,12.5,1,6,9,9,0,6,6,1
12.545454545454543,11,13.333333333333334,1,12,12,12,1,10,6,1
11.0,4,10.833333333333334,1,6,10,10,0,6,10,2
14.0,6,13.0,1,6,6,6,1,8,8,1
14.0,2,10.0,1,2,11,7,0,8,10,0
11.2,5,11.428571428571429,1,6,11,8,1,6,6,1
12.8875,8,12.8875,1,8,8,8,0,8,8,1
12.95,6,12.95,1,6,7,7,1,5,10,1
0.0,0,10.0,1,1,5,12,0,10,10,0
12.55,8,13.094285714285714,1,7,8,7,1,6,6,1
0.0,0,0.0,1,0,6,7,0,8,8,0
11.0,6,11.714285714285714,1,5,11,12,1,7,8,1
10.0,3,11.25,1,4,15,8,0,6,6,2
0.0,0,0.0,1,0,0,0,0,11,8,0
13.333333333333334,6,13.166666666666666,1,6,6,6,0,6,10,1
13.4,5,12.75,1,4,5,7,0,5,6,1
11.0,2,10.6,0,5,9,6,0,10,10,0
12.0,6,11.2,1,5,6,8,0,8,10,1
0.0,0,0.0,1,0,0,0,0,7,10,0
13.666666666666666,6,13.0,1,6,6,6,0,6,5,1
0.0,0,0.0,1,0,5,10,0,12,12,0
0.0,0,0.0,1,0,0,0,0,11,9,0
15.0,6,14.166666666666666,1,6,9,8,0,5,10,1
12.333333333333334,6,12.833333333333334,1,5,6,10,1,8,10,1
10.4,5,11.75,1,4,9,11,1,4,10,1
11.5,6,10.833333333333334,1,6,7,8,1,10,10,1
12.25,4,11.75,1,4,8,8,0,3,5,0
10.5,2,11.5,0,3,9,14,1,7,10,0
11.333333333333334,3,10.0,1,2,7,14,0,10,10,2
13.7,6,13.7,1,6,7,7,1,8,10,1
0.0,0,14.0,1,1,12,8,0,12,5,0
12.166666666666666,6,11.375,1,7,10,12,0,9,7,2
0.0,0,0.0,1,0,6,17,0,35,29,2
0.0,0,0.0,1,0,0,10,0,1,1,0
12.5,2,11.0,1,1,9,9,0,8,8,2
13.285714285714286,7,13.0,1,6,7,10,1,10,10,1
15.11111111111111,8,13.6,1,8,10,15,0,8,8,1
11.5,2,11.0,1,3,9,8,0,10,10,0
11.705714285714285,7,11.705714285714285,1,7,11,11,0,6,3,2
14.333333333333334,11,13.25,1,12,14,12,0,4,4,1
10.0,1,10.75,1,1,10,15,0,10,10,0
13.428571428571429,7,12.0,1,6,8,8,0,7,7,2
12.25,4,12.666666666666666,1,6,8,7,0,11,5,2
11.0,3,11.4,0,5,9,8,0,8,12,0
12.4,5,13.0,1,6,8,6,0,6,6,1
12.285714285714286,6,14.0,1,6,8,8,1,5,10,1
0.0,0,0.0,1,0,10,11,0,10,10,2
0.0,0,0.0,1,0,0,0,0,11,10,0
16.075,8,15.285714285714286,1,7,8,7,1,8,10,1
12.666666666666666,6,13.166666666666666,1,6,6,6,0,8,8,1
12.833333333333334,5,13.6,1,5,11,7,0,4,4,1
0.0,0,0.0,0,0,8,8,1,3,1,0
11.5,4,11.4,1,10,9,12,0,1,1,1
0.0,0,0.0,1,0,0,0,0,3,10,0
11.6,5,11.0,1,5,5,7,0,10,10,1
0.0,0,0.0,0,0,11,9,0,10,10,0
12.666666666666666,6,13.571428571428571,1,6,6,7,0,9,5,1
0.0,0,0.0,1,0,0,0,0,11,2,0
12.0,4,11.25,1,4,11,14,0,10,3,0
11.0,1,13.333333333333334,1,3,5,6,0,12,5,0
